job_title,Industry,experience_level,Age,employment_type,work_year, salary_in_usd ,company_location,company_size
Machine Learning Scientist,IT,Mid-level,59,Full-time,2024," $7,50,000.00 ",United States,Medium
Machine Learning Scientist,IT,Mid-level,25,Full-time,2023," $7,50,000.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,45,Full-time,2023," $7,50,000.00 ",United States,Medium
Data Engineer,IT,Mid-level,20,Full-time,2023," $7,50,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,30,Full-time,2023," $7,50,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,36,Full-time,2024," $7,20,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,55,Full-time,2024," $7,20,000.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,48,Full-time,2023," $7,00,000.00 ",United States,Medium
Analytics Engineer,IT,Mid-level,30,Full-time,2023," $7,00,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,30,Full-time,2023," $4,65,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,38,Full-time,2024," $4,50,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,44,Full-time,2020," $4,50,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,24,Full-time,2024," $4,40,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,37,Full-time,2024," $4,40,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,21,Full-time,2024," $4,40,000.00 ",United States,Medium
Data Analyst,IT,Mid-level,55,Full-time,2022," $4,30,967.00 ",United Kingdom,Medium
Analytics Engineer,IT,Mid-level,35,Full-time,2023," $4,30,640.00 ",United Kingdom,Medium
Applied Machine Learning Scientist,IT,Mid-level,18,Full-time,2021," $4,23,000.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,27,Full-time,2024," $4,18,000.00 ",United States,Medium
AI Scientist,IT,Senior-level,28,Full-time,2023," $4,17,937.00 ",Israel,Large
Principal Data Scientist,IT,Executive-level,23,Contract,2021," $4,16,000.00 ",United States,Small
Applied Scientist,IT,Senior-level,21,Full-time,2024," $4,14,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,37,Full-time,2020," $4,12,000.00 ",United States,Large
Research Scientist,IT,Mid-level,19,Full-time,2023," $4,05,000.00 ",United States,Large
Data Analytics Lead,IT,Senior-level,42,Full-time,2022," $4,05,000.00 ",United States,Large
Analytics Engineering Manager,IT,Senior-level,22,Full-time,2023," $3,99,880.00 ",United Kingdom,Large
Machine Learning Engineer,IT,Senior-level,28,Full-time,2023," $3,92,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,29,Full-time,2024," $3,85,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,24,Full-time,2024," $3,85,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,29,Full-time,2023," $3,85,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,47,Full-time,2023," $3,85,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,34,Full-time,2023," $3,85,000.00 ",United States,Medium
Data Infrastructure Engineer,IT,Senior-level,60,Full-time,2023," $3,85,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,64,Full-time,2023," $3,85,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,31,Full-time,2023," $3,85,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,24,Full-time,2023," $3,83,910.00 ",United States,Medium
Data Architect,IT,Senior-level,64,Full-time,2024," $3,81,500.00 ",United States,Medium
Applied Data Scientist,IT,Senior-level,24,Full-time,2022," $3,80,000.00 ",United States,Large
Data Architect,IT,Senior-level,21,Full-time,2023," $3,76,080.00 ",United States,Medium
Director of Data Science,IT,Executive-level,46,Full-time,2023," $3,75,500.00 ",United States,Medium
Machine Learning Software Engineer,IT,Senior-level,31,Full-time,2022," $3,75,000.00 ",United States,Medium
Data Science Tech Lead,IT,Senior-level,38,Full-time,2022," $3,75,000.00 ",United States,Large
Research Scientist,IT,Senior-level,48,Full-time,2023," $3,74,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,38,Full-time,2023," $3,72,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,48,Full-time,2023," $3,70,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,29,Full-time,2023," $3,70,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,40,Full-time,2023," $3,70,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,53,Full-time,2023," $3,70,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,41,Full-time,2023," $3,70,000.00 ",United States,Medium
Analytics Engineer,IT,Mid-level,21,Full-time,2023," $3,69,120.00 ",United Kingdom,Medium
AI Engineer,IT,Mid-level,28,Full-time,2023," $3,69,120.00 ",United Kingdom,Medium
Data Analyst,IT,Mid-level,35,Full-time,2023," $3,69,120.00 ",United Kingdom,Medium
ML Engineer,IT,Senior-level,62,Full-time,2023," $3,65,630.00 ",United States,Medium
AI Engineer,IT,Senior-level,46,Full-time,2023," $3,60,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,19,Full-time,2023," $3,59,170.00 ",United States,Medium
ML Engineer,IT,Senior-level,37,Full-time,2024," $3,57,900.00 ",United States,Medium
Data Architect,IT,Senior-level,48,Full-time,2023," $3,54,200.00 ",United States,Medium
Director of Data Science,IT,Executive-level,56,Full-time,2023," $3,53,200.00 ",United States,Medium
Computer Vision Engineer,IT,Senior-level,61,Full-time,2023," $3,51,000.00 ",United States,Medium
Research Engineer,IT,Entry-level,40,Full-time,2023," $3,50,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,46,Full-time,2023," $3,50,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,28,Full-time,2023," $3,50,000.00 ",United States,Medium
Data Lead,IT,Senior-level,31,Full-time,2023," $3,50,000.00 ",United States,Medium
Applied Scientist,IT,Senior-level,58,Full-time,2023," $3,50,000.00 ",United States,Large
Data Scientist,IT,Senior-level,45,Full-time,2022," $3,50,000.00 ",United States,Medium
Data Architect,IT,Senior-level,59,Full-time,2022," $3,45,600.00 ",United States,Medium
Research Scientist,IT,Senior-level,23,Full-time,2023," $3,45,000.00 ",United States,Medium
Computer Vision Engineer,IT,Senior-level,27,Full-time,2023," $3,42,810.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,37,Full-time,2023," $3,42,300.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,53,Full-time,2023," $3,40,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,64,Full-time,2023," $3,40,000.00 ",United States,Medium
Director of Data Science,IT,Executive-level,37,Full-time,2023," $3,36,400.00 ",United States,Medium
ML Engineer,IT,Senior-level,60,Full-time,2023," $3,36,300.00 ",United States,Medium
Data Engineer,IT,Senior-level,58,Full-time,2023," $3,33,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,45,Full-time,2023," $3,33,500.00 ",United States,Medium
Data Engineer,IT,Executive-level,37,Full-time,2023," $3,33,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,41,Full-time,2024," $3,31,640.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,42,Full-time,2023," $3,31,640.00 ",United States,Medium
ML Engineer,IT,Senior-level,65,Full-time,2023," $3,31,640.00 ",United States,Medium
Deep Learning Engineer,IT,Senior-level,42,Full-time,2023," $3,31,640.00 ",United States,Medium
Data Engineer,IT,Senior-level,30,Full-time,2023," $3,31,640.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,54,Full-time,2023," $3,30,000.00 ",United States,Medium
Head of Machine Learning,IT,Executive-level,59,Full-time,2023," $3,30,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2023," $3,30,000.00 ",United States,Medium
AI Architect,IT,Senior-level,63,Full-time,2023," $3,30,000.00 ",United States,Medium
Head of Data Science,IT,Executive-level,46,Full-time,2023," $3,30,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,60,Full-time,2023," $3,29,700.00 ",United States,Medium
Head of Data,IT,Executive-level,19,Full-time,2023," $3,29,500.00 ",United States,Medium
Head of Data,IT,Executive-level,51,Full-time,2023," $3,29,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,20,Full-time,2023," $3,28,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,22,Full-time,2023," $3,28,133.00 ",United States,Medium
Data Science Manager,IT,Senior-level,62,Full-time,2023," $3,28,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,64,Full-time,2023," $3,25,000.00 ",United States,Medium
Director of Data Science,IT,Executive-level,40,Full-time,2020," $3,25,000.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,19,Full-time,2024," $3,24,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,57,Full-time,2024," $3,24,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,18,Full-time,2024," $3,24,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,23,Full-time,2023," $3,24,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,57,Full-time,2023," $3,24,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,22,Full-time,2023," $3,24,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,55,Full-time,2022," $3,24,000.00 ",United States,Medium
Finance Data Analyst,IT,Senior-level,22,Contract,2023," $3,23,905.00 ",United States,Medium
Data Science,IT,Executive-level,28,Full-time,2024," $3,23,700.00 ",United States,Medium
Research Scientist,IT,Senior-level,35,Full-time,2023," $3,23,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,50,Full-time,2023," $3,23,300.00 ",United States,Medium
Data Scientist,IT,Senior-level,63,Full-time,2023," $3,23,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,45,Full-time,2024," $3,22,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,47,Full-time,2023," $3,19,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,22,Full-time,2023," $3,19,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,40,Full-time,2023," $3,18,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2023," $3,17,070.00 ",United States,Medium
Data Scientist,IT,Senior-level,31,Full-time,2023," $3,17,070.00 ",United States,Medium
AI Architect,IT,Senior-level,53,Full-time,2024," $3,17,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,46,Full-time,2023," $3,16,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,42,Full-time,2023," $3,15,850.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,23,Full-time,2023," $3,15,300.00 ",United States,Medium
Data Engineer,IT,Senior-level,20,Full-time,2022," $3,15,000.00 ",United States,Medium
Head of Data Science,IT,Executive-level,20,Full-time,2023," $3,14,100.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2023," $3,11,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,38,Full-time,2023," $3,10,270.00 ",United States,Medium
Data Scientist,IT,Mid-level,26,Full-time,2024," $3,10,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,18,Full-time,2023," $3,10,000.00 ",United States,Medium
Data Architect,IT,Senior-level,40,Full-time,2023," $3,10,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,59,Full-time,2023," $3,10,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,23,Full-time,2023," $3,10,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,55,Full-time,2023," $3,10,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,18,Full-time,2022," $3,10,000.00 ",United States,Medium
Applied Scientist,IT,Senior-level,19,Full-time,2023," $3,09,400.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,27,Full-time,2023," $3,09,000.00 ",United States,Medium
Data Engineer,IT,Mid-level,35,Full-time,2024," $3,08,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,53,Full-time,2023," $3,08,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,43,Full-time,2023," $3,08,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,39,Full-time,2023," $3,07,100.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,34,Full-time,2023," $3,06,400.00 ",Canada,Medium
Data Architect,IT,Senior-level,60,Full-time,2023," $3,06,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,65,Full-time,2023," $3,06,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,20,Full-time,2023," $3,05,600.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,35,Full-time,2023," $3,05,600.00 ",United States,Medium
AI Architect,IT,Senior-level,28,Full-time,2023," $3,05,100.00 ",United States,Medium
ML Engineer,IT,Senior-level,23,Full-time,2023," $3,05,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,30,Full-time,2023," $3,05,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,50,Full-time,2023," $3,04,750.00 ",United States,Medium
Data Engineer,IT,Senior-level,64,Full-time,2023," $3,04,200.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,20,Full-time,2023," $3,04,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,49,Full-time,2024," $3,03,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,30,Full-time,2024," $3,03,400.00 ",Canada,Medium
Deep Learning Engineer,IT,Senior-level,37,Full-time,2023," $3,03,387.00 ",Canada,Medium
Research Scientist,IT,Senior-level,62,Full-time,2023," $3,03,050.00 ",United States,Medium
Machine Learning Software Engineer,IT,Senior-level,30,Full-time,2023," $3,02,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,60,Full-time,2023," $3,00,240.00 ",United States,Medium
Data Infrastructure Engineer,IT,Senior-level,19,Full-time,2023," $3,00,105.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,46,Full-time,2024," $3,00,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,40,Full-time,2023," $3,00,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,53,Full-time,2023," $3,00,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,57,Full-time,2023," $3,00,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,64,Full-time,2023," $3,00,000.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,35,Full-time,2023," $3,00,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,41,Full-time,2023," $3,00,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,35,Full-time,2023," $3,00,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,20,Full-time,2023," $3,00,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,56,Full-time,2023," $3,00,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,41,Full-time,2023," $3,00,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,21,Full-time,2023," $3,00,000.00 ",United States,Medium
Data Scientist,IT,Executive-level,21,Full-time,2023," $3,00,000.00 ",United States,Medium
AI Engineer,IT,Mid-level,47,Full-time,2023," $3,00,000.00 ",Qatar,Medium
Machine Learning Engineer,IT,Mid-level,35,Full-time,2023," $3,00,000.00 ",United Kingdom,Medium
ML Engineer,IT,Mid-level,64,Full-time,2023," $3,00,000.00 ",Australia,Medium
Data Engineer,IT,Senior-level,52,Full-time,2022," $3,00,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,31,Full-time,2022," $3,00,000.00 ",United States,Medium
Data Science Manager,IT,Senior-level,29,Full-time,2022," $3,00,000.00 ",United States,Medium
Managing Director Data Science,IT,Executive-level,24,Full-time,2020," $3,00,000.00 ",United States,Large
Data Science Manager,IT,Senior-level,39,Full-time,2023," $2,99,500.00 ",United States,Medium
Data Scientist,IT,Executive-level,51,Full-time,2023," $2,99,500.00 ",United States,Medium
Data Science Manager,IT,Senior-level,38,Full-time,2022," $2,99,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,52,Full-time,2023," $2,99,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,52,Full-time,2022," $2,97,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,58,Full-time,2023," $2,97,300.00 ",United States,Medium
Data Science Manager,IT,Senior-level,57,Full-time,2023," $2,97,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,25,Full-time,2023," $2,97,300.00 ",United States,Medium
ML Engineer,IT,Senior-level,49,Full-time,2023," $2,97,300.00 ",United States,Medium
Data Scientist,IT,Senior-level,27,Full-time,2023," $2,97,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,37,Full-time,2023," $2,97,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,43,Full-time,2023," $2,96,980.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,53,Full-time,2023," $2,96,400.00 ",United States,Medium
Data Scientist,IT,Senior-level,25,Full-time,2024," $2,96,100.00 ",United States,Medium
Data Scientist,IT,Senior-level,40,Full-time,2023," $2,96,100.00 ",United States,Medium
Machine Learning Engineer,IT,Executive-level,43,Full-time,2023," $2,95,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,35,Full-time,2023," $2,95,490.00 ",United States,Medium
Research Engineer,IT,Mid-level,49,Full-time,2024," $2,95,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,34,Full-time,2024," $2,95,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,52,Full-time,2024," $2,95,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,53,Full-time,2023," $2,95,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,30,Full-time,2023," $2,94,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,41,Full-time,2023," $2,93,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,25,Full-time,2023," $2,93,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,49,Full-time,2023," $2,93,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,21,Full-time,2023," $2,92,200.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,19,Full-time,2023," $2,92,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,52,Full-time,2023," $2,91,500.00 ",United States,Medium
Data Engineer,IT,Senior-level,40,Full-time,2023," $2,91,500.00 ",United States,Medium
Data Engineer,IT,Senior-level,29,Full-time,2023," $2,90,300.00 ",United States,Medium
Data Scientist,IT,Senior-level,44,Full-time,2023," $2,90,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,28,Full-time,2023," $2,90,000.00 ",United States,Medium
Head of Data,IT,Executive-level,61,Full-time,2023," $2,90,000.00 ",United States,Large
Data Engineer,IT,Senior-level,48,Full-time,2023," $2,90,000.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,39,Full-time,2023," $2,89,800.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,56,Full-time,2023," $2,89,800.00 ",United Kingdom,Medium
Data Operations Engineer,IT,Senior-level,59,Full-time,2023," $2,89,120.00 ",United States,Medium
